1/0007;12200/12273
1/0033;12200/12294
1/0094;11900/11957
1/0109;12000/12046
1/0111;12000/12050
1/0117;12000/12036
1/0128﻿;12200/12277
1/0131﻿;12200/12272
1/0154;12000/12045
1/0155;12000/12030
1/0156;12000/12086
1/0159;12000/12035
1/0165﻿;12000/12022
1/0166;12000/12031
1/0174;12000/12027
1/0181;12000/12039
1/0182;12000/12020
1/0193;12000/12019
1/0208;03600/03614
1/0210;12100/12124
1/0311﻿;12200/12281
1/0315﻿;12200/12295
1/0322;12200/12278
1/0332;08800/08838
1/0338;11900/11991
1/0343﻿;12200/12282
1/0362;12100/12140
1/0363﻿;12100/12139